ax,ay,az,gx,gy,gz,label
-1284,8760,-14584,-86,34,-41,caída
-1320,8372,-14660,4,-110,71,caída
-1348,8080,-14720,-283,46,62,caída
-1524,8204,-14604,-381,293,64,caída
-1328,7964,-14604,-366,143,-147,caída
-1476,8172,-14708,-540,-65,-259,caída
-1340,8268,-14552,-395,24,-251,caída
-1268,8428,-15124,-355,158,-208,caída
-1232,8516,-14700,-197,92,-99,caída
-1404,8304,-14640,-275,-46,-18,caída
-1484,8204,-14560,-396,63,22,caída
-1484,8116,-14652,-465,98,-75,caída
-1528,8308,-14944,-225,135,-185,caída
-1412,8192,-14300,-218,117,-209,caída
-1412,8336,-14696,-352,188,-163,caída
-1364,8420,-14800,-301,250,-32,caída
-1540,8148,-14424,-466,198,-139,caída
-1492,8332,-14424,-445,31,-163,caída
-1472,8212,-14692,-451,288,-87,caída
-1456,8044,-14752,-640,360,-95,caída
-1256,8024,-14568,-544,208,-129,caída
-1464,8180,-14360,-761,93,-181,caída
-1536,8604,-14448,-601,142,-27,caída
-1464,8148,-14400,-584,264,-11,caída
-1620,8448,-14964,-468,-91,-248,caída
-1388,8340,-14356,-509,178,-158,caída
-1416,8596,-14892,-214,332,-26,caída
-1448,8504,-14664,-199,189,-108,caída
-1428,8256,-14392,-240,190,-62,caída
-1472,8296,-14440,-329,118,-101,caída
-1556,8112,-14320,-434,141,-180,caída
-1416,8288,-14420,-338,-31,-302,caída
-1496,8480,-14768,-339,234,-88,caída
-1536,8512,-14556,-275,190,-141,caída
-1484,8244,-14404,-375,196,-118,caída
-1384,8084,-14580,-351,289,-21,caída
-1336,8336,-14676,-301,7,-154,caída
-1400,8464,-14372,-228,102,-130,caída
-1408,8256,-14432,-336,233,-45,caída
-1464,8184,-14596,-419,175,-73,caída
-1420,8224,-14568,-388,40,-224,caída
-1364,8372,-14476,-482,141,-125,caída
-1344,8324,-14568,-488,287,1,caída
-1420,8404,-14656,-110,146,-138,caída
-1468,8284,-14388,-335,305,37,caída
-1500,8456,-14508,-350,-4,-98,caída
-1448,8180,-14836,-328,24,-136,caída
-1400,8188,-14732,-359,213,-108,caída
-1516,8404,-14536,-396,164,-109,caída
-1468,8448,-14432,-391,241,-97,caída
-1516,8412,-14684,-336,91,-163,caída
-1468,8396,-14924,-394,50,-56,caída
-1288,8084,-14260,-139,184,-123,caída
-1476,8532,-14500,-231,104,-112,caída
-1512,8540,-14524,-268,195,-66,caída
-1448,8136,-14432,-304,1,-97,caída
-1388,8172,-14836,-354,65,-71,caída
-1632,7968,-14520,-464,243,-74,caída
-1584,8344,-14424,-195,30,-308,caída
-1512,8428,-14740,-222,246,-197,caída
-1524,8368,-14656,-134,239,-177,caída
-1512,8072,-14604,-520,163,-43,caída
-1568,8148,-14632,-401,8,-197,caída
-1508,8264,-14672,-427,103,-95,caída
-1408,8292,-14800,-465,99,-77,caída
-1664,8324,-14488,-265,168,-50,caída
-1580,8128,-14692,-316,130,-22,caída
-1464,8176,-14592,-345,217,-109,caída
-1512,8336,-14520,-316,161,-134,caída
-1616,8208,-14452,-250,219,-22,caída
-1532,8292,-14856,-175,21,-65,caída
-1556,8372,-14932,-319,165,-46,caída
-1644,8076,-14396,-244,140,-118,caída
-1504,8024,-14640,-369,140,-223,caída
-1616,8340,-14544,-389,218,-145,caída
-1552,8260,-14572,-360,124,-50,caída
-1448,8344,-14588,-458,81,-81,caída
-1572,8248,-14508,-521,144,-110,caída
-1652,8372,-14944,-249,42,-234,caída
-1624,8276,-14492,-366,136,-192,caída
-1424,8080,-14416,-399,185,-117,caída
-1616,8372,-14420,-384,131,-90,caída
-1524,8088,-14432,-391,113,-95,caída
-1696,8440,-14888,-439,96,-111,caída
-1556,8272,-14756,-384,255,-124,caída
-1472,7984,-14232,-291,79,-107,caída
-1632,8064,-14328,-515,-52,-152,caída
-1724,8556,-14716,-572,93,-27,caída
-1692,8156,-14648,-351,121,-8,caída
-1628,8176,-14724,-372,61,-144,caída
-1640,8140,-14744,-393,285,-189,caída
-1580,8436,-14628,-348,179,-132,caída
-1504,8308,-14588,-299,122,-68,caída
-1636,8456,-14584,-339,75,-60,caída
-1680,8160,-14488,-463,-55,-127,caída
-1600,8184,-14548,-525,-272,-269,caída
-1736,8648,-14932,-403,-210,-112,caída
-1656,8168,-14696,-362,-135,53,caída
-1872,8396,-14724,-403,-87,-29,caída
-1836,8176,-14684,-431,97,-8,caída
-1800,8260,-14288,-216,271,-79,caída
-1812,8428,-14852,-346,136,-55,caída
-1692,8248,-14316,-53,50,-38,caída
-1752,8400,-14360,-343,-17,-65,caída
-1832,8388,-14692,-337,46,-37,caída
-1708,8356,-14652,-259,67,29,caída
-1832,8268,-14624,-338,188,-10,caída
-1944,8216,-14468,-376,253,-61,caída
-1760,8312,-14860,-397,332,30,caída
-1844,8276,-14536,-590,155,23,caída
-1780,8272,-14380,-392,-171,-128,caída
-1836,8172,-14536,-505,463,59,caída
-1844,8216,-14492,-443,152,-61,caída
-1860,8384,-14788,-434,310,-37,caída
-1772,8212,-14416,-511,57,-165,caída
-1728,8348,-14720,-467,272,54,caída
-1828,8200,-14452,-551,157,-46,caída
-1780,8308,-14536,-473,122,-138,caída
-1868,8504,-14772,-547,261,-50,caída
-1720,8396,-14300,-206,236,-75,caída
-1860,8556,-14780,-282,5,-98,caída
-1848,8440,-14428,-299,114,-111,caída
-1808,8396,-14504,-236,265,-141,caída
-1760,8372,-14500,-263,231,-123,caída
-1796,8400,-14304,-309,167,-81,caída
-1836,8416,-14588,-418,-14,-70,caída
-1904,8472,-14544,-383,5,-70,caída
-1860,8376,-14596,-503,106,-29,caída
-1264,8192,-13916,-250,-69,-228,caída
-1768,8272,-14364,-361,-109,-236,caída
-1760,8448,-14484,-452,92,-42,caída
-1700,8624,-14716,-513,43,-78,caída
-1556,9028,-13944,-614,-309,262,caída
-1484,9056,-13688,-627,-1148,780,caída
-1484,8788,-13852,-970,-888,1425,caída
-1572,9528,-13588,-744,-2102,1844,caída
-1716,9248,-13452,-1000,-2429,2942,caída
-2036,9012,-13604,-1110,-2929,3361,caída
-2184,8888,-13960,-1165,-3435,3623,caída
-1976,9120,-14392,-948,-3452,4289,caída
-2208,9240,-13584,-469,-3105,4681,caída
-2284,9612,-14604,-7,-3480,5025,caída
-2472,9328,-13844,-204,-3182,4741,caída
-2452,9160,-13500,-637,-2319,4447,caída
-2284,8580,-13784,-614,-3123,4338,caída
-2076,8488,-14284,-381,-3007,4098,caída
-1728,8408,-14032,132,-2625,3942,caída
-1976,8356,-14736,797,-2622,3667,caída
-2344,7588,-15072,394,-1458,3326,caída
-2900,6984,-15132,157,754,1396,caída
-3208,8804,-15672,-437,1208,-481,caída
-3004,9136,-14168,-687,2122,-1286,caída
-2884,9056,-13684,-504,1854,-2188,caída
-3476,8636,-13116,505,1709,-3323,caída
-4044,11632,-13848,305,2407,-5017,caída
-3880,14868,-13252,1001,3381,-4038,caída
-3536,13784,-11976,1196,3954,-2000,caída
-3176,11072,-11440,855,3654,-1358,caída
-2668,9508,-10128,199,3772,-1814,caída
-1848,8784,-10396,-946,1933,-2612,caída
-1792,8284,-11004,-1059,212,-3364,caída
-2432,7608,-13572,-1702,-635,-4587,caída
-2808,7432,-15372,-2009,148,-6273,caída
-3148,7164,-15308,-3549,1522,-7950,caída
-3740,6004,-17984,-2429,1131,-9469,caída
-4228,6232,-18152,-1835,4299,-11534,caída
-4084,9668,-16504,-1408,5960,-11843,caída
-3652,10156,-13836,-1197,8262,-10895,caída
-2500,8348,-12428,-2802,10136,-9439,caída
-1208,9092,-12704,-1685,7528,-8382,caída
-1572,10188,-14100,378,5296,-6690,caída
-2772,12164,-15228,710,4205,-5603,caída
-2316,10828,-13828,242,5358,-3883,caída
-1604,9244,-12236,33,3117,-2272,caída
-1196,8620,-13056,102,1486,-1031,caída
-1588,9696,-13576,107,1085,1084,caída
-1656,8792,-13176,-169,-933,886,caída
-1940,8728,-14904,-199,-1029,2053,caída
-1908,9224,-14756,25,-1183,2414,caída
-1916,9656,-14832,173,-1373,3298,caída
-2096,8488,-14220,253,-1589,3890,caída
-2428,8156,-14604,18,-1944,4410,caída
-3060,7256,-14916,-1,-2039,4274,caída
-3304,7104,-14440,-69,-1595,4005,caída
-3400,6460,-15512,-36,-1365,2468,caída
-3188,6304,-15112,-168,-284,1715,caída
-3112,6232,-15356,-357,222,585,caída
-3332,5364,-14980,-654,507,-1214,caída
-3228,5816,-14952,-1364,1724,-2731,caída
-2504,8172,-14472,-1068,1235,-3519,caída
-1776,9344,-14724,-819,1653,-2621,caída
-1156,9488,-14392,-579,1362,-1678,caída
-1420,9456,-13780,-396,850,-666,caída
-1728,9176,-13772,-90,-652,-6,caída
-1952,8568,-14276,-203,-936,663,caída
-2316,8184,-14856,-228,-967,771,caída
-2596,7636,-14912,-160,-902,862,caída
-2700,7344,-15716,128,-422,498,caída
-2728,7476,-15004,162,283,182,caída
-2580,7812,-15064,134,606,-2,caída
-2244,7764,-14152,127,431,-118,caída
-2244,7920,-14500,83,136,140,caída
-2348,7956,-14296,-112,-126,157,caída
-2196,7724,-14772,-70,-122,247,caída
-2408,7936,-15008,-55,-231,358,caída
-2324,7772,-15008,-1,-166,382,caída
-2396,7876,-15176,80,87,476,caída
-2400,7312,-14880,-103,-88,451,caída
-2316,7512,-14676,-360,-154,172,caída
-2344,7612,-15288,-637,226,588,caída
-2384,7568,-14596,-360,240,234,caída
-2392,7588,-14748,-66,53,179,caída
-2408,7244,-14808,-125,13,45,caída
-2428,7532,-14788,-3,54,-122,caída
-2648,7756,-15252,96,107,-187,caída
-2320,7572,-14876,-77,195,-196,caída
-2260,7412,-14492,-317,242,-223,caída
-2244,7676,-14808,-339,93,27,caída
-2408,7656,-14792,-93,-255,68,caída
-2388,7504,-14944,-156,154,118,caída
-2368,7220,-14668,-32,-107,81,caída
-2336,7356,-15108,-88,86,72,caída
-2408,7292,-15100,-174,111,38,caída
-2296,7440,-14856,-191,-4,-174,caída
-2400,7400,-14844,-180,150,-49,caída
-2372,7448,-15032,-161,117,56,caída
-2452,7260,-14452,-343,44,-23,caída
-2356,7304,-14984,-324,-160,103,caída
-2352,7192,-15344,-241,-59,142,caída
-2528,7124,-15148,-205,-94,-7,caída
-2588,7344,-15256,-301,-199,-27,caída
-2548,7144,-14776,-395,357,-69,caída
-2400,7252,-14840,-387,101,-166,caída
-2372,7336,-15044,-418,-85,-119,caída
-2500,7436,-14932,-407,241,-62,caída
-2520,7384,-15096,-357,-99,-85,caída
-2520,7364,-15140,-310,-4,-87,caída
-2560,7320,-15232,-477,257,-15,caída
-2592,7376,-14776,-396,49,-86,caída
-2500,7308,-14852,-421,116,-95,caída
-2580,7332,-14748,-441,174,-6,caída
-2636,7432,-15012,-326,116,-108,caída
-2496,7124,-14724,-430,7,-198,caída
-2532,7332,-15108,-438,175,-95,caída
-2548,7484,-14968,-394,146,-71,caída
-2504,7628,-15068,-227,120,-162,caída
-2596,7368,-14800,-81,-44,-27,caída
-2624,7348,-15184,-151,-125,-77,caída
-2748,7156,-14964,-225,-37,-123,caída
-2904,7072,-15092,-231,175,-244,caída
-3220,6920,-14992,-59,227,-740,caída
-3560,6336,-15288,81,269,-1359,caída
-3376,6288,-15772,68,644,-2036,caída
-3112,6160,-15036,17,1196,-2489,caída
-3784,5160,-15280,106,1185,-2879,caída
-4832,3268,-15492,-285,1463,-4333,caída
-5328,5892,-16340,-540,3600,-6408,caída
-4804,6812,-16356,-586,4365,-7289,caída
-4108,6992,-15832,-489,5300,-6993,caída
-3560,6996,-15932,-860,4911,-8643,caída
-2768,7420,-13552,-803,5561,-7994,caída
-2112,7908,-14092,-64,3453,-6712,caída
-1276,8036,-15128,-1113,3796,-4901,caída
-1548,6144,-13232,-635,2846,-3657,caída
-2108,5512,-15532,-1109,1720,-3557,caída
-2068,4684,-15956,-1554,1626,-4513,caída
-3000,6652,-16704,-575,2743,-4041,caída
-2628,5092,-14284,-808,2064,-5699,caída
-2480,4764,-14844,-1760,-355,-7493,caída
-3984,7372,-17112,-1957,-1417,-7057,caída
-4596,7568,-17492,-3394,1979,-5967,caída
-3264,7484,-14004,-2828,2682,-3663,caída
-1888,3832,-13840,-963,140,-2056,caída
-2284,3984,-19036,-398,1737,-3683,caída
-2392,5588,-17544,-987,4626,-5075,caída
-3160,5932,-16464,-1372,5616,-5538,caída
-3180,6672,-15620,-1639,4937,-4295,caída
-2764,6868,-15740,-753,3915,-2472,caída
-1860,8316,-14892,-174,2595,-2958,caída
-656,6060,-17696,-3289,4075,-4537,caída
-1092,7948,-12716,-2607,957,-4255,caída
-696,9492,-14240,-1127,1319,-2131,caída
-580,8344,-14996,1043,419,-1305,caída
-312,7324,-14948,1182,2450,-452,caída
-1172,7548,-17916,-256,1002,-1251,caída
-1464,6780,-16880,-1241,3048,-1571,caída
-1040,5588,-14816,-1559,2987,-1807,caída
-1420,8396,-15240,-2545,3010,-758,caída
-428,7980,-14224,-1941,3007,-2137,caída
-144,7740,-14580,-270,654,-1588,caída
-152,6452,-13608,151,-282,-1733,caída
76,5608,-14828,-95,-1273,-2515,caída
-552,7276,-16108,6,-1199,-2418,caída
-480,6176,-15692,-412,-1066,-1172,caída
-680,6412,-16980,282,576,-1539,caída
-1328,6708,-15984,-940,1205,-1746,caída
-1308,7012,-16472,-1121,2990,-2709,caída
-1044,7800,-15324,-1877,3984,-2385,caída
-664,8248,-14932,-911,2165,-1582,caída
-656,7708,-15264,-584,1712,-1029,caída
-240,7172,-15044,-181,1899,-197,caída
192,6464,-14124,-689,2029,-620,caída
760,6112,-14044,-1130,1546,-1936,caída
344,7172,-14348,-1222,494,-2062,caída
244,7720,-14616,-1549,-40,-1757,caída
136,8948,-15564,-1489,197,-1116,caída
-564,8764,-14856,-63,-1328,-607,caída
-1028,6692,-16892,2055,-3120,292,caída
-1544,5876,-17268,2264,-2671,-914,caída
-2116,5956,-17564,2509,-2241,-817,caída
-2040,4928,-16516,1605,-1950,-805,caída
-2264,5956,-16192,1156,-42,-2995,caída
-2496,6040,-15880,934,788,-3394,caída
-2248,5572,-15228,711,45,-3026,caída
-2140,5528,-14948,903,941,-3315,caída
-2196,5164,-14708,513,278,-3061,caída
-2744,4896,-16064,1165,-109,-3278,caída
-3036,5012,-15572,547,148,-3643,caída
-3320,4816,-16076,-141,562,-3912,caída
-3168,5240,-15888,-721,1287,-3878,caída
-2968,5416,-15136,-925,1144,-3720,caída
-2768,5668,-15528,-1168,1886,-3550,caída
-2976,5816,-15356,-1042,738,-2988,caída
-3136,5412,-15636,-1268,809,-3104,caída
-2796,4876,-15052,-1350,1153,-3130,caída
-2580,4928,-15504,-1382,1122,-3238,caída
-2248,5260,-15660,-1805,458,-3232,caída
-2148,5624,-15872,-1633,484,-3283,caída
-2336,5508,-15872,-1599,732,-3008,caída
-2428,5408,-16236,-2025,1749,-2704,caída
-2408,5736,-15676,-2194,3236,-2713,caída
-2600,5468,-15792,-2647,2890,-2149,caída
-2428,5796,-15496,-2298,2528,-2838,caída
-2252,6324,-14892,-1957,2080,-2360,caída
-2196,6896,-16080,-1001,1456,-1817,caída
-2308,6016,-15244,-379,798,-1461,caída
-2320,6388,-15512,-685,302,-1603,caída
-1800,5392,-14816,-172,-322,-1392,caída
-1692,5136,-13488,-1565,-106,-1784,caída
-2176,6100,-16164,-2588,-2642,-2293,caída
-2120,6280,-16208,-1788,1078,-2607,caída
-2024,7368,-15228,-1892,149,-1419,caída
-2424,8412,-14780,-1891,-1028,-720,caída
-2824,8744,-15004,-1141,-1701,-146,caída
-2556,5728,-16888,1817,-2701,-979,caída
-3444,7736,-13308,380,-2635,1736,caída
-4052,6744,-15880,1155,-5253,2568,caída
-4128,8124,-15224,1935,-3394,2565,caída
-4660,6756,-16564,1301,-3868,4093,caída
-4488,7484,-16716,1216,-486,4113,caída
-4432,6536,-15332,-100,-133,3302,caída
-4128,5448,-17076,745,491,3441,caída
-3436,4740,-14844,424,2073,3264,caída
-2532,3616,-15496,573,1143,1068,caída
-132,3956,-15716,-163,-186,1077,caída
776,3916,-18252,888,-482,2241,caída
616,6524,-19272,1681,-496,4745,caída
264,7632,-16100,2992,768,5829,caída
-868,9536,-14772,3743,712,7836,caída
-2324,7124,-14188,3961,-146,9356,caída
-3736,4160,-15476,4366,-1276,9209,caída
-4308,1756,-14964,3555,-484,6620,caída
-3848,2136,-12580,1366,-119,4757,caída
-3572,2148,-13120,868,-2415,3864,caída
-3664,4668,-14548,-1154,-1606,1951,caída
-3600,6564,-15364,-1873,-1624,616,caída
-3908,6564,-14084,-3318,-283,1528,caída
-4624,3468,-16492,-4135,-833,1014,caída
-5124,3296,-15624,-3764,2580,-991,caída
-3784,4704,-16300,-3422,1476,-2922,caída
-2948,4984,-15468,-2966,1132,-3179,caída
-2276,5980,-15768,-2758,546,-3811,caída
-2076,7692,-16532,-1806,-68,-2669,caída
-1584,6256,-13500,-710,-101,-2869,caída
-2148,5624,-17936,-577,-2576,-1097,caída
-2204,6160,-17132,-1988,1935,-1673,caída
-2644,6360,-15236,-1544,1807,-1838,caída
-2692,7196,-16120,-6864,-627,281,caída
-3856,8836,-14960,-14424,-3170,-410,caída
-3556,8972,-16296,-289,4819,-3254,caída
-5052,10880,-12468,7602,5835,-2082,caída
-3692,10924,-16712,2356,1527,-810,caída
-3912,8480,-15864,2986,2429,-1033,caída
-4172,11704,-12996,-1777,617,-1751,caída
-3012,6668,-12460,-292,-1545,-2924,caída
-3936,6988,-14836,166,-132,-3672,caída
-4724,6164,-15516,231,674,-5214,caída
-4996,5940,-15408,-957,1624,-5848,caída
-5016,5536,-15776,-1831,628,-6382,caída
-5292,6008,-15468,-2371,2754,-6844,caída
-5324,6184,-17424,-3593,3569,-7206,caída
-5052,6256,-15536,-2031,7971,-9522,caída
-4412,9744,-14964,-4084,14024,-7786,caída
-832,7292,-17936,-9243,18091,-5044,caída
608,-5536,-18748,-3898,-13402,329,caída
-2724,15780,-17348,1240,-1148,-5719,caída
-1880,8320,-13300,2008,249,-2255,caída
-1892,7992,-12968,4207,-2691,509,caída
-2208,6536,-16124,4539,-3854,1365,caída
-3384,6248,-13492,2693,-3621,2598,caída
-2840,5004,-14476,4597,-5945,2539,caída
-4388,6628,-13104,5572,-9312,3112,caída
-5516,7320,-14724,3973,-9619,5833,caída
-6440,7388,-16660,4960,-9338,7338,caída
-5984,5604,-19028,1960,-4547,8552,caída
-5048,2364,-12320,2874,-8486,8225,caída
-6280,5772,-20052,2717,-1932,9641,caída
-6584,5452,-14092,3980,17,9827,caída
-6144,3740,-16760,4530,1136,10443,caída
-5640,2912,-13048,3109,1746,9413,caída
-5616,3232,-14272,4427,-681,9154,caída
-6080,2700,-15276,2793,706,8911,caída
-6436,1100,-16124,3190,-386,7287,caída
-6536,-216,-16172,940,2405,4556,caída
-6516,624,-15080,1583,578,723,caída
-5680,-248,-15248,-645,2463,-39,caída
-5136,1128,-15152,283,1942,-1886,caída
-4452,364,-15772,-1678,2872,-3691,caída
-4012,2820,-15376,-2761,3792,-4458,caída
-3852,4052,-16920,-2904,3876,-5859,caída
-3504,6308,-15596,-3892,5432,-5099,caída
-3424,5584,-16584,-2079,4333,-4377,caída
-2880,6612,-16008,-2709,5470,-4083,caída
-1260,16516,-15380,64,3418,-1094,caída
-2624,14172,-12000,3166,-904,9918,caída
-5164,5788,-11992,5174,-6061,12207,caída
-6480,1276,-15940,2895,-5996,10611,caída
-5840,4840,-18516,3768,-4897,7970,caída
-4716,2832,-17512,1567,-1433,7678,caída
-3608,4480,-14416,3323,-2650,7602,caída
-2096,3648,-16816,3671,-2803,7153,caída
-1372,3024,-16012,2322,-3557,8236,caída
-1392,2332,-16076,343,-2573,9135,caída
-2144,1836,-14420,26,-3541,9773,caída
-3040,2936,-17496,165,-3221,9868,caída
-2676,2372,-14936,-2647,490,9679,caída
-3840,5404,-15640,-1092,-972,10135,caída
-4040,3500,-15196,-1961,-239,9956,caída
-4660,5288,-17780,-1335,-776,10348,caída
-4312,6240,-18536,-1374,512,9286,caída
-4868,5752,-18768,433,2065,9269,caída
-5276,3896,-16640,1304,1478,6925,caída
-4272,2648,-15092,468,1347,2853,caída
-2876,4236,-15572,417,2679,292,caída
-1192,5324,-14532,-620,2817,-1923,caída
-376,5784,-13184,-1806,113,-2986,caída
-768,4152,-12468,-3831,2198,-1567,caída
-2988,7492,-15464,-2095,-1668,-3014,caída
-3832,7092,-17192,-3937,2522,-5373,caída
-3792,9068,-18516,-4005,2958,-5879,caída
-2148,9340,-17068,-4927,4672,-5191,caída
-1708,6868,-14516,-5554,2659,-5848,caída
-160,6856,-12908,-2572,3288,-3901,caída
-492,7108,-15184,-517,-1042,-2580,caída
-892,6956,-16732,-188,443,-2517,caída
-808,5916,-15272,-741,1664,-2289,caída
-756,7604,-15052,-929,1850,-2421,caída
1420,7756,-14400,-817,2060,-1500,caída
1020,7500,-13972,904,-3363,1529,caída
-1176,6276,-17720,-114,-42,1906,caída
-1620,7012,-16920,6,472,1019,caída
-1244,6800,-15448,750,216,270,caída
-884,6724,-15756,1003,130,142,caída
-952,8404,-17008,1411,-91,-409,caída
-588,11284,-18244,1650,1706,363,caída
-356,8648,-14356,2024,2087,1725,caída
-1044,6552,-13180,2127,764,1542,caída
-1600,4848,-13716,1250,-363,277,caída
-2036,4664,-15152,158,-450,-2535,caída
-1780,4768,-13628,-640,2205,-4281,caída
-1904,5788,-14104,-2062,2090,-6729,caída
-1172,5468,-12572,-2403,660,-6762,caída
-1728,6616,-14624,-2050,-3104,-5867,caída
-3156,6104,-17528,-1615,-2354,-2906,caída
-3124,4340,-15196,-508,-2812,-3616,caída
-2792,7432,-18684,701,-1333,-3288,caída
-3040,8068,-16192,1071,723,-2121,caída
-3568,9152,-16912,591,2588,-2430,caída
-3632,8384,-14696,-20,2885,-3625,caída
-2656,8368,-13760,-845,5336,-4463,caída
656,8964,-11620,-1566,3794,-2544,caída
944,10896,-14028,-1281,-1079,267,caída
-1096,10840,-15064,-982,-1733,5148,caída
-2736,7796,-15012,-793,-2662,6433,caída
-2828,7096,-14704,-1424,-3086,6798,caída
-2684,5248,-14004,-1630,-2602,6403,caída
-3492,5024,-16396,-1978,-3470,5124,caída
-3492,5652,-15400,-1432,-1532,2973,caída
-2888,7436,-15896,-1327,-1048,2890,caída
-1988,8560,-14352,-982,-1415,2467,caída
-1864,9632,-13644,-934,-2799,3304,caída
-2436,8388,-13612,-1567,-2853,4020,caída
-2980,7792,-16244,-1541,-2121,3578,caída
-3468,7688,-15864,-1251,-1947,3050,caída
-3920,6880,-17452,-576,-249,1944,caída
-4060,6220,-17360,148,1050,272,caída
-3468,6148,-15132,-65,2950,-1725,caída
-2960,8140,-14608,203,2808,-2825,caída
-3344,7160,-15192,292,2618,-3114,caída
-2984,7300,-14884,222,3242,-4289,caída
-2636,7616,-13848,212,2674,-4380,caída
-2708,7272,-15236,277,2566,-4666,caída
-2616,7948,-15120,39,3330,-5150,caída
-2360,8216,-14180,149,3129,-5606,caída
-2176,8236,-14892,291,2695,-4899,caída
-2032,8428,-14652,-113,3474,-4566,caída
-1464,8584,-13812,682,1672,-4170,caída
-1736,8132,-14360,-278,1841,-3672,caída
-1724,7592,-13804,-510,1184,-3135,caída
-1912,7292,-14892,-690,1156,-2942,caída
-2116,7300,-14600,-1268,1239,-3001,caída
-2120,7316,-13696,-1340,796,-3282,caída
-2000,8136,-14436,-1633,492,-2688,caída
-1836,8904,-14392,-1305,-281,-1914,caída
-1896,8788,-14496,-807,-862,-1302,caída
-2016,8732,-14572,-981,-982,-531,caída
-2148,9144,-14736,-886,-1210,606,caída
-2236,8904,-14684,-718,-1413,1420,caída
-2296,8520,-14552,-364,-1389,2329,caída
-2532,8600,-14500,-367,-1951,2959,caída
-2872,8616,-14584,-427,-1749,3123,caída
-3008,8132,-14208,-446,-2115,3366,caída
-3312,8248,-14476,-345,-2090,3582,caída
-3384,7648,-15476,-111,-1962,3529,caída
-3276,7916,-15132,-72,-1099,3477,caída
-3084,7952,-15040,42,-594,3422,caída
-3200,7988,-14360,155,-556,2983,caída
-2948,7652,-14284,34,-452,2743,caída
-2896,7600,-15284,317,-520,2379,caída
-2916,7256,-14724,341,-351,2048,caída
-3428,6344,-15424,-19,393,917,caída
-3572,5244,-15600,-178,818,-1019,caída
-3564,6552,-15056,-268,1312,-2495,caída
-3212,6668,-14316,-320,1540,-3416,caída
-2872,7892,-15776,-32,1900,-3433,caída
-2788,7448,-15052,30,2110,-3748,caída
-2924,7396,-15280,310,2074,-3796,caída
-3024,7416,-14492,88,2243,-4250,caída
-2944,7376,-14424,-308,2283,-4310,caída
-2880,7828,-14884,-9,1946,-4535,caída
-2664,7636,-14432,-388,1652,-4248,caída
-2712,7896,-14792,-596,2156,-4605,caída
-2604,7796,-13860,-723,1122,-3840,caída
-2376,7828,-14736,-770,1285,-3559,caída
-2312,7560,-14604,-870,1077,-3159,caída
-2708,7652,-13824,-1010,404,-2620,caída
-2872,8412,-15196,-933,1017,-2682,caída
-2712,7880,-14972,-924,-368,-1979,caída
-2720,7772,-14668,-920,22,-1143,caída
-3076,7520,-15316,-580,-248,-796,caída
-3056,8116,-14496,-359,-165,-508,caída
-2924,8024,-14004,-514,-577,42,caída
-2924,8168,-14344,-412,-900,1132,caída
-3280,7772,-15160,-564,-939,1384,caída
-3320,7256,-14848,-653,-613,1017,caída
-3728,7000,-15428,-467,-318,1233,caída
-3776,7036,-15404,-269,41,745,caída
-3760,7108,-14820,-328,141,563,caída
-3568,6700,-15036,-137,-47,445,caída
-3552,7296,-15052,-169,513,362,caída
-3240,7668,-14532,124,290,321,caída
2244,5208,17312,-3804,1621,8129,correr
3140,7536,18404,-5550,401,7570,correr
4292,8460,17048,-8351,371,9667,correr
3816,6584,13312,-714,-4352,5925,correr
2420,6928,7576,3388,-5054,4124,correr
1312,4584,8260,-3152,1872,4992,correr
2064,324,10464,-8837,4442,7092,correr
3428,-76,16608,-9538,2318,6000,correr
4536,5328,13796,-254,4755,677,correr
5020,1852,22504,-7391,-4615,4252,correr
5608,6376,17380,12060,-12472,-1180,correr
6008,8232,10168,21850,-10186,-684,correr
3996,9556,13632,22365,-3420,1032,correr
5860,1748,7360,4460,6050,3223,correr
4632,-512,17520,-4858,7279,1678,correr
7452,2896,19580,-1816,1168,-350,correr
7292,6776,13588,-3250,-1489,9136,correr
8204,-1140,11988,-1334,3523,3218,correr
7948,2056,5284,-2214,-3110,7511,correr
9376,720,11224,-724,2075,-2049,correr
9008,1348,10744,-10210,1101,-1039,correr
4332,-1236,13184,-14319,-6157,-1305,correr
2064,-20,27684,836,5957,-2758,correr
2756,-132,32767,-495,-11,-4158,correr
880,6668,26620,3319,-10480,-10777,correr
-496,7760,15852,6105,-10028,-7625,correr
640,2948,9412,977,-10986,-2903,correr
4540,4224,4152,-1114,-4093,-563,correr
9192,1664,7036,-3643,2311,5411,correr
11248,2800,7648,1948,1889,3486,correr
11168,5380,10932,4808,485,3073,correr
10940,5896,9276,571,-785,-1989,correr
11528,11948,11796,5003,4647,1211,correr
11160,308,18424,791,1657,1688,correr
11000,6248,16216,2807,1751,-2482,correr
10752,736,20636,-1144,-2417,-2702,correr
7700,1664,10352,-1851,-4083,-4581,correr
7748,208,8972,-2115,-3272,-5155,correr
8768,1200,13248,224,-2141,-8813,correr
9072,3140,15132,-4196,-5450,-7533,correr
7372,-60,15180,-3941,-6932,-13552,correr
6592,2144,12152,-5017,-6880,-16708,correr
6804,3032,12700,-8688,-8632,-19856,correr
8668,1428,12596,-12755,-4938,-21607,correr
10128,-176,25140,-9014,-10611,-25767,correr
7464,6212,12952,-14094,-6284,-19644,correr
8252,908,11776,-14697,-3254,-15845,correr
