ax,ay,az,gx,gy,gz,label
1324,13444,5840,5500,-439,1499,caminar
980,11888,7704,1056,1482,-1402,caminar
-1076,13608,5796,3091,1624,9990,caminar
4212,10028,6412,4311,2076,14159,caminar
3744,11736,5116,3779,-136,4726,caminar
8320,11912,2600,-5887,2545,1612,caminar
7904,15104,5612,-3435,1273,-1272,caminar
8428,14148,5336,-5498,-462,-2341,caminar
7796,15132,8816,-5264,-7231,-4999,caminar
5948,16312,11744,-2547,-6907,-9271,caminar
5820,14772,10812,-4262,-4239,-3290,caminar
6652,8788,10176,-950,-1915,-1896,caminar
5612,9156,9556,-5278,2193,-2186,caminar
6236,9656,11632,-503,-4121,976,caminar
7616,9760,9908,-270,-4807,-321,caminar
-1012,15668,8932,202,-6177,-2296,caminar
5612,10804,10368,-4885,-10479,-2556,caminar
6460,12972,4972,-4593,-4306,-5697,caminar
6000,12968,9768,-2607,-1160,-3019,caminar
4608,11696,6784,-1274,-1026,-4709,caminar
6820,12760,5240,968,450,-3822,caminar
7120,13812,5640,3035,1467,-3505,caminar
8104,15116,6304,4879,1476,-1811,caminar
8100,16492,7840,5428,2103,96,caminar
7668,15412,6700,6213,4182,2225,caminar
8688,17476,9172,7589,4381,1922,caminar
8052,17288,6472,7182,3484,6912,caminar
2964,10844,5864,5490,3746,4056,caminar
732,10108,2920,4821,-3641,-879,caminar
1864,13768,2888,2536,-3736,-5306,caminar
3912,16120,1676,157,-1878,-3318,caminar
4256,15136,888,-1439,-256,-2199,caminar
5008,14316,892,-844,2027,-673,caminar
5576,14124,1888,-2151,1713,372,caminar
5784,15288,-176,-732,2175,1476,caminar
5088,15736,1468,-2447,4755,776,caminar
4972,17580,2840,-1547,1945,1709,caminar
4236,17252,1672,-4777,5397,2757,caminar
3864,20312,7960,706,1821,-4183,caminar
4052,17280,6776,-4809,6172,1147,caminar
244,9056,4636,-2515,6211,670,caminar
2100,12380,5800,1057,3106,321,caminar
1288,15428,9248,796,6966,705,caminar
2640,15940,8772,-714,10354,5485,caminar
464,11892,6456,-831,10528,3408,caminar
2332,14032,5448,1635,10502,3797,caminar
2892,15320,6464,2825,13405,4036,caminar
3440,16800,8108,3745,17458,6633,caminar
3060,16912,9080,5159,18006,9206,caminar
1000,15552,11484,5006,19283,11675,caminar
2484,15720,9104,6011,18825,8789,caminar
664,13340,7648,7095,18144,8862,caminar
1120,15000,6564,7824,13186,6031,caminar
2944,16120,6064,8475,10110,8073,caminar
4356,16248,4576,7539,10711,9492,caminar
6340,17752,4544,9677,9122,7949,caminar
5012,15956,2748,8884,13211,11385,caminar
4012,12104,2036,8466,12101,9100,caminar
5568,11680,1556,8086,10088,8163,caminar
6860,11176,2668,6379,9232,6886,caminar
7020,12096,1588,3934,6947,3175,caminar
7500,14684,944,3577,5326,1130,caminar
6860,14992,-532,2463,4764,-44,caminar
8256,15056,-1072,2276,6623,1273,caminar
7744,13656,-840,2958,6655,2515,caminar
10392,17520,3184,4767,2732,1470,caminar
10728,15632,3964,1209,6414,6217,caminar
6844,8980,1640,2404,6621,6721,caminar
9180,8488,2008,564,8345,5291,caminar
12556,11780,5512,1406,6098,3339,caminar
13852,13104,4848,-402,8150,4945,caminar
10956,9376,3612,-842,8018,7386,caminar
9812,7688,2688,596,5740,3341,caminar
12148,10276,2992,1092,3815,1684,caminar
12244,10036,4048,-207,3165,-300,caminar
13592,11740,3632,1146,4506,312,caminar
11220,9372,4816,-657,5915,2262,caminar
11596,11316,4380,-716,7926,275,caminar
10104,11480,8836,-3836,10050,1138,caminar
7348,9744,13476,836,1569,-4250,caminar
7192,12264,8496,1539,-4467,-8657,caminar
5704,12404,7192,6617,-6932,-11434,caminar
6084,13836,6268,4390,-3030,-10992,caminar
6964,16636,1896,4849,-5463,-12272,caminar
5700,15816,-1112,3524,-720,-7050,caminar
4660,13784,-20,3490,1189,-3428,caminar
3504,12648,2752,2520,1405,-5279,caminar
4800,15484,936,681,2694,-3228,caminar
3852,14592,1904,707,2242,-1821,caminar
4740,17804,1216,237,2212,-425,caminar
4432,19824,2524,65,2905,-147,caminar
3868,19956,2348,-1882,3725,-7,caminar
4104,20584,4760,1873,2805,-1848,caminar
2004,13124,7448,1732,878,-1042,caminar
2756,13840,5996,2703,-1660,-2324,caminar
2972,16192,3892,2132,1571,281,caminar
2336,14892,3280,1383,4207,1092,caminar
2900,14344,920,1137,4084,1530,caminar
3168,13820,792,1701,3474,972,caminar
3500,13980,536,1472,3646,1274,caminar
3896,13888,140,812,3289,-445,caminar
4896,14056,-876,1452,536,-381,caminar
5044,14492,-904,1948,-2368,-3030,caminar
5692,18672,-296,71,-1840,-3594,caminar
4512,18952,668,-1245,-1388,-2138,caminar
2712,19312,3008,-3502,-454,-3637,caminar
2332,20120,2964,-900,-2039,-2696,caminar
2088,17116,3160,92,-3588,-2381,caminar
